Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Salary
A.J. Green,SG,23,MIL,12,0,5.8,1.1,2.0,0.542,0.8,1.6,0.474,0.3,0.4,0.8,0.729,0.3,0.3,1.0,0.2,0.5,0.7,0.3,0.1,0.0,0.2,0.9,3.2,
A.J. Lawson,SG,22,MIN,1,0,2.0,1.0,1.0,1.0,0.0,0.0,,1.0,1.0,1.0,1.0,0.0,0.0,,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,2.0,
AJ Griffin,SF,19,ATL,31,9,21.7,4.2,9.0,0.462,1.7,4.6,0.366,2.5,4.4,0.562,0.556,0.5,0.5,0.875,0.7,1.7,2.4,1.0,1.1,0.1,0.8,1.3,10.5,Below mean
Aaron Gordon,PF,27,DEN,29,29,30.0,6.8,11.1,0.611,1.0,2.7,0.39,5.7,8.4,0.68,0.657,2.9,4.6,0.644,2.4,4.3,6.7,2.1,0.9,0.8,1.6,1.8,17.5,Above mean
Aaron Holiday,PG,26,ATL,31,3,17.1,1.9,4.3,0.439,0.7,1.5,0.438,1.2,2.7,0.44,0.519,0.6,0.7,0.826,0.5,1.0,1.5,1.6,0.7,0.2,0.7,1.7,5.0,Below mean
Aaron Nesmith,SF,23,IND,30,18,22.3,3.1,7.5,0.418,1.5,4.1,0.355,1.7,3.4,0.495,0.516,1.1,1.3,0.868,0.8,2.9,3.7,1.2,0.7,0.5,1.0,3.1,8.8,Below mean
Aaron Wiggins,SG,24,OKC,26,6,18.9,2.4,5.1,0.474,0.7,1.8,0.375,1.7,3.3,0.529,0.541,1.0,1.3,0.794,1.1,2.7,3.7,1.5,0.6,0.2,0.9,1.6,6.6,Below mean
Admiral Schofield,PF,25,ORL,23,0,12.5,1.7,3.5,0.481,0.8,2.2,0.36,0.9,1.3,0.677,0.593,0.5,0.6,0.923,0.7,1.2,1.9,0.7,0.3,0.1,0.2,2.0,4.7,
Al Horford,C,36,BOS,26,26,30.8,3.7,7.5,0.5,2.2,4.8,0.444,1.6,2.6,0.603,0.644,0.2,0.3,0.625,1.0,5.3,6.3,2.6,0.5,1.1,0.7,1.9,9.8,Above mean
Alec Burks,SG,31,DET,24,0,21.3,4.2,9.1,0.461,2.0,4.6,0.432,2.2,4.5,0.491,0.571,3.4,4.3,0.788,0.3,2.6,2.8,2.0,0.9,0.1,1.2,2.3,13.8,Above mean
Aleksej Pokusevski,PF,21,OKC,31,25,21.8,3.5,7.8,0.44,1.2,3.3,0.376,2.2,4.6,0.486,0.519,0.7,1.1,0.636,1.5,3.6,5.1,2.0,0.6,1.3,1.3,1.8,8.8,Below mean
Alex Caruso,PG,28,CHI,30,14,25.0,1.8,4.0,0.438,0.8,2.2,0.373,0.9,1.8,0.519,0.541,1.0,1.3,0.763,0.4,2.4,2.8,3.6,1.6,0.7,1.4,2.3,5.3,Below mean
Alex Len,C,29,SAC,9,1,4.3,0.6,1.1,0.5,0.0,0.1,0.0,0.6,1.0,0.556,0.5,0.3,0.4,0.75,0.3,1.1,1.4,0.2,0.0,0.0,0.2,0.8,1.4,Below mean
Alize Johnson,PF,26,SAS,4,0,7.5,0.8,1.5,0.5,0.0,0.5,0.0,0.8,1.0,0.75,0.5,0.3,0.5,0.5,0.5,2.0,2.5,0.3,0.3,0.0,1.0,0.8,1.8,Below mean
Alondes Williams,SG,23,BRK,1,0,5.0,0.0,0.0,,0.0,0.0,,0.0,0.0,,,0.0,0.0,,0.0,1.0,1.0,0.0,0.0,0.0,2.0,1.0,0.0,
Alperen Şengün,C,20,HOU,31,28,26.7,5.6,10.2,0.554,0.2,0.8,0.208,5.5,9.4,0.582,0.562,3.0,3.7,0.793,3.3,5.5,8.8,2.5,0.7,0.9,2.1,3.2,14.4,Below mean
Amir Coffey,SG,25,LAC,29,7,13.9,1.2,3.0,0.391,0.3,0.9,0.346,0.9,2.1,0.41,0.443,1.1,1.4,0.805,0.4,0.8,1.1,1.2,0.2,0.1,0.4,1.1,3.8,Below mean
Andre Drummond,C,29,CHI,27,0,14.1,2.6,4.6,0.56,0.0,0.1,0.0,2.6,4.6,0.569,0.56,1.0,1.7,0.587,2.3,5.0,7.3,0.8,0.6,0.4,1.2,2.0,6.2,Below mean
Andrew Nembhard,SG,23,IND,30,21,26.1,3.3,7.1,0.46,1.3,3.5,0.377,1.9,3.6,0.542,0.554,0.5,0.5,0.875,0.4,2.7,3.1,3.8,1.0,0.2,1.5,2.9,8.3,Below mean
Andrew Wiggins,SF,27,GSW,22,22,32.8,7.4,14.5,0.511,3.0,6.8,0.45,4.4,7.7,0.565,0.616,1.2,2.0,0.628,1.5,3.6,5.1,2.2,1.4,0.8,1.4,2.9,19.1,Above mean
Anfernee Simons,SG,23,POR,32,32,35.9,7.9,18.1,0.439,3.9,10.1,0.383,4.1,8.0,0.51,0.546,2.7,3.0,0.895,0.3,2.6,2.8,4.1,0.8,0.2,2.2,2.5,22.4,Above mean
Anthony Davis,C,29,LAL,25,25,33.4,10.2,17.2,0.594,0.4,1.2,0.29,9.8,15.9,0.618,0.605,6.6,8.0,0.826,3.1,9.0,12.1,2.6,1.3,2.1,1.9,2.7,27.4,Above mean
Anthony Edwards,SG,21,MIN,35,35,36.8,8.5,18.4,0.463,2.6,7.0,0.367,5.9,11.4,0.521,0.533,3.9,5.3,0.745,0.7,5.3,6.0,4.5,1.8,0.5,3.3,2.8,23.5,Above mean
Anthony Gill,PF,30,WAS,28,4,10.5,1.1,1.9,0.574,0.1,0.5,0.143,1.0,1.4,0.725,0.593,0.5,0.6,0.824,0.5,0.9,1.5,0.5,0.2,0.2,0.2,1.3,2.8,Below mean
Anthony Lamb,SF,25,GSW,28,3,18.5,2.2,4.5,0.492,1.2,3.1,0.379,1.0,1.4,0.744,0.623,0.3,0.5,0.643,0.7,2.4,3.1,1.6,0.6,0.3,1.0,2.1,5.9,
Austin Reaves,SG,24,LAL,33,10,29.1,3.5,6.8,0.516,1.3,3.3,0.382,2.2,3.4,0.646,0.61,2.6,2.8,0.904,0.7,2.3,2.9,2.1,0.6,0.4,1.3,1.6,10.8,Below mean
Austin Rivers,SG,30,MIN,25,9,19.7,1.9,4.1,0.466,0.9,2.3,0.397,1.0,1.8,0.556,0.578,0.9,1.0,0.88,0.1,1.7,1.8,1.2,0.5,0.0,0.6,1.7,5.6,Below mean
Ayo Dosunmu,PG,23,CHI,32,24,26.8,3.8,7.6,0.5,0.9,2.8,0.333,2.8,4.8,0.599,0.562,0.8,1.0,0.818,0.6,2.5,3.2,2.7,0.7,0.4,1.3,2.4,9.3,Below mean
Bam Adebayo,C,25,MIA,31,31,35.3,8.3,15.5,0.535,0.0,0.3,0.1,8.3,15.2,0.544,0.536,4.2,5.1,0.828,2.5,7.4,9.9,3.3,0.9,0.7,3.0,3.2,20.9,Above mean
Ben Simmons,PG,26,BRK,25,20,27.4,3.8,6.3,0.605,0.0,0.0,0.0,3.8,6.2,0.609,0.605,0.7,1.6,0.439,1.1,5.6,6.8,6.0,1.4,0.5,2.2,3.5,8.3,Above mean
Bennedict Mathurin,SG,20,IND,35,2,28.3,5.4,13.1,0.415,1.7,5.1,0.343,3.7,8.0,0.461,0.481,4.5,5.5,0.82,1.1,2.8,3.9,1.5,0.6,0.1,1.8,2.0,17.1,Below mean
Bismack Biyombo,C,30,PHO,30,4,13.7,1.6,2.8,0.578,0.0,0.0,,1.6,2.8,0.578,0.578,0.4,1.3,0.342,1.1,2.6,3.7,0.9,0.3,1.4,1.0,2.0,3.6,Below mean
Blake Griffin,PF,33,BOS,15,8,15.3,1.9,3.9,0.5,0.5,1.6,0.333,1.4,2.3,0.618,0.569,1.0,1.4,0.714,1.0,2.9,3.9,1.2,0.3,0.1,0.4,2.1,5.4,Below mean
Blake Wesley,SG,19,SAS,2,0,11.5,3.0,4.5,0.667,1.0,1.5,0.667,2.0,3.0,0.667,0.778,1.0,2.0,0.5,0.5,0.5,1.0,2.0,0.0,0.0,1.0,1.5,8.0,Below mean
Boban Marjanović,C,34,HOU,10,0,3.8,0.7,1.1,0.636,0.0,0.1,0.0,0.7,1.0,0.7,0.636,0.7,0.9,0.778,0.1,0.9,1.0,0.1,0.1,0.1,0.2,0.1,2.1,Below mean
Bobby Portis,PF,27,MIL,34,8,26.1,5.8,11.6,0.495,1.1,3.6,0.306,4.7,8.1,0.578,0.542,1.0,1.3,0.773,2.5,7.6,10.0,1.8,0.3,0.3,1.1,1.7,13.6,Above mean
Bogdan Bogdanović,SG,30,ATL,12,3,29.9,6.3,14.3,0.439,3.6,8.5,0.422,2.7,5.8,0.464,0.564,1.3,1.7,0.8,0.3,3.5,3.8,2.3,0.8,0.3,1.6,1.2,17.4,Above mean
Bojan Bogdanović,PF,33,DET,36,36,31.2,6.7,14.1,0.477,2.4,5.9,0.404,4.3,8.2,0.531,0.562,4.8,5.4,0.902,0.5,3.1,3.6,2.4,0.6,0.1,2.4,1.8,20.7,Above mean
Bol Bol,PF,23,ORL,36,31,26.0,4.9,8.3,0.593,0.7,1.8,0.4,4.2,6.5,0.647,0.637,1.4,1.9,0.75,1.4,5.7,7.1,0.9,0.5,1.6,1.9,1.4,12.0,Below mean
Bones Hyland,PG,22,DEN,26,1,20.8,4.4,11.3,0.389,2.3,6.1,0.386,2.0,5.2,0.393,0.493,1.8,2.2,0.842,0.3,1.8,2.2,3.4,0.6,0.3,1.7,1.8,13.0,Below mean
Bradley Beal,SG,29,WAS,23,23,34.5,8.9,16.8,0.527,1.6,4.6,0.343,7.3,12.3,0.596,0.574,4.2,4.9,0.858,0.9,2.7,3.6,5.2,1.0,0.6,2.8,1.9,23.5,Above mean
Brandon Boston Jr.,SG,21,LAC,13,0,9.5,1.8,4.7,0.377,0.6,1.4,0.444,1.2,3.3,0.349,0.443,1.2,1.5,0.789,0.2,0.8,1.0,0.7,0.2,0.0,0.4,0.7,5.3,Below mean
Brandon Clarke,PF,26,MEM,33,3,19.6,4.2,6.4,0.651,0.0,0.2,0.167,4.2,6.2,0.665,0.653,1.8,2.5,0.744,1.4,4.1,5.5,1.2,0.5,0.8,1.1,2.3,10.2,Below mean
Brandon Ingram,SF,25,NOP,15,15,32.1,7.3,15.4,0.472,1.9,4.0,0.467,5.4,11.4,0.474,0.532,4.4,5.1,0.868,0.5,4.6,5.1,4.7,0.9,0.7,2.8,2.2,20.8,Above mean
Braxton Key,SF,25,DET,3,0,3.0,0.3,0.3,1.0,0.0,0.0,,0.3,0.3,1.0,1.0,0.7,0.7,1.0,0.0,0.3,0.3,0.0,0.0,0.0,0.0,0.0,1.3,
Brook Lopez,C,34,MIL,33,33,30.8,5.5,10.9,0.508,2.0,5.2,0.392,3.5,5.7,0.614,0.601,1.7,2.2,0.803,1.8,4.1,5.9,1.2,0.5,2.6,1.3,2.3,14.8,Above mean
Bruce Brown,PG,26,DEN,33,18,29.5,4.3,8.8,0.49,1.2,3.1,0.398,3.1,5.7,0.54,0.56,0.9,1.2,0.795,0.9,3.2,4.1,4.1,0.9,0.6,1.6,2.5,10.8,Below mean
Bruno Fernando,C,24,HOU,17,3,10.9,1.6,2.8,0.583,0.0,0.1,0.0,1.6,2.8,0.596,0.583,0.8,1.3,0.636,1.6,2.1,3.7,1.1,0.3,0.7,0.6,2.2,4.1,Below mean
Bryce McGowens,SG,20,CHO,13,0,14.3,1.4,3.5,0.4,0.5,1.2,0.375,0.9,2.2,0.414,0.467,0.8,0.9,0.917,0.2,1.2,1.4,1.0,0.3,0.3,0.5,0.5,4.1,
Bryn Forbes,SG,29,MIN,21,0,10.6,1.1,3.3,0.333,0.4,1.7,0.25,0.7,1.6,0.424,0.399,0.6,0.6,1.0,0.2,0.4,0.6,0.6,0.3,0.0,0.4,0.8,3.2,Below mean
Buddy Boeheim,PG,23,DET,1,0,1.0,0.0,0.0,,0.0,0.0,,0.0,0.0,,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
Buddy Hield,SG,30,IND,35,35,31.6,6.3,14.0,0.454,3.8,9.0,0.419,2.6,5.0,0.517,0.589,1.2,1.4,0.857,0.9,3.8,4.7,2.6,0.9,0.3,2.0,1.9,17.7,Above mean
CJ McCollum,SG,31,NOP,30,30,35.2,7.4,17.9,0.414,2.5,6.9,0.367,4.9,11.0,0.444,0.485,2.0,2.4,0.819,0.9,4.2,5.1,6.1,1.1,0.6,2.5,1.8,19.4,Above mean
Cade Cunningham,PG,21,DET,12,12,33.3,7.8,18.7,0.415,1.4,5.1,0.279,6.3,13.6,0.466,0.453,3.0,3.6,0.837,1.0,5.2,6.2,6.0,0.8,0.6,3.3,2.8,19.9,Above mean
Caleb Houstan,SF,20,ORL,24,1,17.3,1.3,3.6,0.372,0.9,2.6,0.355,0.4,1.0,0.417,0.5,0.5,0.5,0.846,0.7,1.8,2.4,0.7,0.2,0.1,0.3,1.6,4.0,Below mean
Caleb Martin,PF,27,MIA,32,32,32.2,4.1,8.8,0.465,1.5,3.8,0.397,2.6,5.0,0.516,0.55,1.0,1.3,0.786,1.6,3.3,4.8,1.9,1.1,0.4,1.2,1.8,10.7,Below mean
Cam Reddish,SF,23,NYK,20,8,21.9,3.1,6.8,0.449,0.9,2.8,0.304,2.2,4.0,0.55,0.511,1.5,1.7,0.879,0.4,1.2,1.6,1.0,0.8,0.4,0.8,1.6,8.4,Below mean
Cam Thomas,SG,21,BRK,25,0,14.1,2.1,5.3,0.402,0.4,1.2,0.367,1.7,4.1,0.412,0.443,1.9,2.4,0.783,0.1,1.2,1.3,1.4,0.4,0.1,0.8,0.9,6.6,Below mean
Cameron Johnson,PF,26,PHO,8,8,25.3,4.6,10.4,0.446,2.8,6.4,0.431,1.9,4.0,0.469,0.578,1.0,1.4,0.727,0.6,2.8,3.4,1.8,1.1,0.4,0.3,1.8,13.0,Below mean
Cameron Payne,PG,28,PHO,26,14,24.8,4.7,11.4,0.416,1.8,4.8,0.387,2.9,6.6,0.436,0.497,1.4,1.8,0.766,0.3,2.0,2.4,5.3,1.0,0.2,2.0,2.1,12.7,Below mean
Caris LeVert,SG,28,CLE,31,16,30.4,4.1,10.5,0.395,1.4,4.1,0.349,2.7,6.4,0.424,0.463,1.9,2.5,0.759,0.7,3.4,4.1,3.8,0.7,0.1,1.6,2.3,11.6,Above mean
Cedi Osman,SF,27,CLE,34,0,22.9,3.6,7.6,0.467,1.3,4.0,0.328,2.2,3.6,0.623,0.554,1.1,1.6,0.679,0.3,2.3,2.6,1.6,0.5,0.1,0.8,1.8,9.5,Below mean
Charles Bassey,C,22,SAS,23,1,13.6,2.0,3.0,0.671,0.1,0.3,0.333,2.0,2.8,0.703,0.686,0.7,1.0,0.667,1.9,3.3,5.2,1.2,0.3,1.0,1.1,2.1,4.9,Below mean
Chima Moneke,SF,27,SAC,2,0,4.0,0.5,1.0,0.5,0.0,0.0,,0.5,1.0,0.5,0.5,0.0,1.0,0.0,1.0,0.0,1.0,0.5,0.0,0.0,1.0,1.0,1.0,Below mean
Chimezie Metu,C,25,SAC,25,0,11.1,2.1,3.6,0.584,0.2,0.8,0.238,1.9,2.7,0.691,0.612,0.6,0.8,0.8,0.6,2.4,3.0,0.6,0.4,0.2,0.7,1.1,5.0,Below mean
Chris Boucher,PF,30,TOR,29,0,22.2,3.6,7.9,0.45,0.8,2.8,0.272,2.8,5.1,0.547,0.498,2.4,3.2,0.763,2.2,3.9,6.1,0.5,0.7,0.7,0.7,2.4,10.3,Above mean
Chris Duarte,SF,25,IND,14,5,18.7,2.9,7.6,0.374,1.3,4.1,0.316,1.6,3.6,0.44,0.458,0.9,1.2,0.765,0.4,1.7,2.1,1.4,0.2,0.3,0.9,1.7,7.9,Below mean
Chris Paul,PG,37,PHO,22,22,31.4,4.2,10.2,0.413,1.6,4.2,0.376,2.6,6.0,0.439,0.491,2.6,3.4,0.784,0.5,3.8,4.3,8.8,1.5,0.3,2.0,2.5,12.7,Above mean
Christian Braun,SG,21,DEN,31,1,14.9,1.5,3.2,0.46,0.4,1.1,0.343,1.1,2.1,0.523,0.52,0.4,0.7,0.524,0.6,1.5,2.1,0.6,0.3,0.2,0.4,1.2,3.7,Below mean
Christian Koloko,C,22,TOR,32,17,16.2,1.3,2.9,0.447,0.0,0.2,0.0,1.3,2.7,0.483,0.447,1.0,1.5,0.673,1.7,1.7,3.3,0.5,0.3,1.2,0.5,2.6,3.7,Below mean
Christian Wood,PF,27,DAL,32,7,28.0,6.4,11.9,0.538,1.6,4.3,0.38,4.8,7.6,0.627,0.606,2.9,4.1,0.712,1.2,6.9,8.0,1.5,0.5,0.9,2.3,2.8,17.4,Above mean
Chuma Okeke,PF,24,ORL,18,7,21.8,1.8,4.8,0.368,1.0,3.3,0.3,0.8,1.5,0.519,0.471,0.9,1.2,0.762,1.2,3.1,4.2,1.4,0.6,0.5,0.5,1.9,5.4,Below mean
Clint Capela,C,28,ATL,27,27,27.5,5.4,8.6,0.636,0.0,0.0,,5.4,8.6,0.636,0.636,1.1,1.9,0.6,4.3,7.6,11.9,0.7,0.6,1.3,1.0,2.4,12.0,Above mean
Coby White,PG,22,CHI,26,0,20.3,2.8,6.7,0.411,1.6,4.5,0.347,1.2,2.2,0.544,0.529,0.8,1.1,0.786,0.2,2.2,2.3,1.8,0.7,0.2,0.9,1.7,8.0,Below mean
Cody Martin,SF,27,CHO,1,0,1.0,0.0,0.0,,0.0,0.0,,0.0,0.0,,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Below mean
Cole Anthony,PG,22,ORL,19,3,26.3,4.5,10.3,0.439,1.3,3.8,0.347,3.2,6.5,0.492,0.503,2.5,2.8,0.906,0.5,4.1,4.5,4.4,0.8,0.4,1.7,3.3,12.9,Below mean
Cole Swider,SF,23,LAL,1,0,2.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,
Collin Sexton,SG,24,UTA,30,10,23.9,4.9,9.8,0.497,1.0,2.5,0.387,3.9,7.3,0.534,0.546,3.6,4.3,0.844,0.9,1.4,2.3,2.9,0.6,0.1,1.7,2.4,14.3,Above mean
Corey Kispert,SF,23,WAS,28,17,27.7,3.4,7.0,0.48,1.7,4.3,0.392,1.7,2.7,0.618,0.599,0.9,1.2,0.765,0.5,1.9,2.5,1.5,0.6,0.1,0.6,1.5,9.3,Below mean
Cory Joseph,PG,31,DET,30,2,14.8,1.6,4.1,0.402,0.6,1.8,0.34,1.0,2.3,0.449,0.475,0.5,0.7,0.682,0.2,0.9,1.1,3.0,0.3,0.1,0.6,1.4,4.4,Below mean
DAngelo Russell,PG,26,MIN,33,33,32.8,6.2,13.4,0.46,2.3,6.6,0.355,3.8,6.8,0.563,0.548,2.2,2.7,0.818,0.5,2.7,3.2,6.5,1.2,0.5,2.9,2.1,16.8,Above mean
Daishen Nix,PG,20,HOU,29,0,15.1,1.2,3.5,0.347,0.7,2.3,0.313,0.5,1.2,0.412,0.45,0.5,0.7,0.714,0.3,1.4,1.7,2.6,0.8,0.1,1.4,1.0,3.7,Below mean
Dalano Banton,PG,23,TOR,22,2,10.1,2.0,4.7,0.423,0.6,2.0,0.302,1.4,2.8,0.508,0.486,0.6,0.8,0.824,0.4,1.0,1.5,1.2,0.5,0.5,0.6,1.1,5.2,Below mean
Dalen Terry,SG,20,CHI,14,0,3.7,0.3,0.9,0.308,0.1,0.3,0.25,0.2,0.6,0.333,0.346,0.2,0.3,0.75,0.0,0.3,0.3,0.5,0.1,0.1,0.3,0.3,0.9,Below mean
Damian Jones,C,27,LAL,18,1,9.3,1.1,2.0,0.556,0.0,0.2,0.0,1.1,1.8,0.606,0.556,0.8,1.1,0.75,1.0,1.9,2.9,0.2,0.2,0.6,0.4,0.8,3.1,Below mean
Damian Lillard,PG,32,POR,22,22,35.1,8.3,18.8,0.441,4.2,11.1,0.38,4.0,7.6,0.53,0.553,6.7,7.4,0.908,0.6,3.2,3.8,7.2,0.8,0.3,3.5,1.9,27.5,Above mean
Damion Lee,SG,30,PHO,36,2,21.9,2.8,6.1,0.464,1.9,3.8,0.486,1.0,2.3,0.427,0.616,1.0,1.1,0.925,0.6,2.8,3.4,1.3,0.4,0.1,0.9,1.6,8.6,Below mean
Daniel Gafford,C,24,WAS,36,5,15.5,2.9,3.8,0.752,0.0,0.0,,2.9,3.8,0.752,0.752,1.2,2.0,0.603,1.8,2.7,4.5,0.5,0.4,1.1,0.9,1.9,6.9,Below mean
Danuel House Jr.,SF,29,PHI,28,2,17.0,1.7,3.4,0.495,0.7,2.0,0.345,1.0,1.4,0.7,0.595,0.9,1.1,0.75,0.3,1.7,2.0,0.8,0.2,0.3,0.5,1.4,4.9,Below mean
Dario Šarić,PF,28,PHO,18,3,10.1,1.2,3.4,0.355,0.5,1.5,0.333,0.7,1.9,0.371,0.427,0.4,0.6,0.8,0.9,1.9,2.8,0.8,0.2,0.1,0.6,1.4,3.4,Below mean
Darius Bazley,PF,22,OKC,23,1,16.6,2.1,4.9,0.438,0.5,1.4,0.364,1.6,3.4,0.468,0.491,0.9,1.8,0.488,0.9,2.8,3.7,1.0,0.5,1.1,0.6,1.2,5.7,Below mean
Darius Garland,PG,23,CLE,29,29,36.0,7.3,16.6,0.444,2.5,6.3,0.396,4.9,10.3,0.473,0.519,4.3,4.9,0.879,0.4,2.3,2.7,7.8,1.3,0.2,3.3,2.1,21.4,Below mean
David Duke Jr.,SG,23,BRK,14,0,9.0,1.4,3.1,0.442,0.0,0.4,0.0,1.4,2.6,0.514,0.442,0.3,0.6,0.5,0.4,0.6,1.1,0.9,0.4,0.1,0.9,1.6,3.0,
David Roddy,PF,21,MEM,32,1,18.6,2.5,6.2,0.401,0.9,3.3,0.283,1.5,2.8,0.538,0.477,0.7,1.0,0.636,0.6,2.1,2.7,0.7,0.4,0.3,0.8,1.4,6.5,Below mean
Davion Mitchell,PG,24,SAC,32,3,19.5,2.6,5.7,0.451,0.8,2.6,0.305,1.8,3.1,0.57,0.519,0.4,0.5,0.706,0.2,1.3,1.6,2.6,0.6,0.3,1.0,1.5,6.3,Below mean
Davon Reed,SG,27,DEN,23,1,10.3,0.8,2.5,0.31,0.5,1.5,0.353,0.3,1.0,0.25,0.414,0.5,0.7,0.688,0.3,1.2,1.5,0.6,0.3,0.1,0.6,1.2,2.6,Below mean
DayRon Sharpe,C,21,BRK,18,1,8.6,1.3,2.6,0.522,0.2,0.2,0.75,1.2,2.3,0.5,0.554,0.7,0.9,0.706,1.3,1.9,3.2,0.6,0.2,0.6,0.7,1.7,3.5,Below mean
DeAaron Fox,PG,25,SAC,30,30,32.5,8.7,17.1,0.507,1.8,5.1,0.344,6.9,12.0,0.577,0.558,4.5,5.7,0.788,0.4,4.4,4.8,5.7,0.9,0.4,2.6,2.7,23.6,Above mean
DeAndre Hunter,SF,25,ATL,28,28,30.7,5.4,12.0,0.448,1.4,4.0,0.354,3.9,7.9,0.495,0.507,2.8,3.4,0.823,0.6,3.4,4.1,1.2,0.4,0.2,1.3,2.9,15.0,Below mean
